"Category","Name","Manufacturer","Scheme","Assurance Level","Protection Profile(s)","Certification Date","Archived Date","Certification Report URL","Security Target URL","Maintenance Date","Maintenance Title","Maintenance Report","Maintenance ST"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ID-One ePass IDL Full EACv2 in PACE MRTD configuration on Infineon SLE77CLFX2400P and SLE77CLFX2407P","Oberthur Card Systems","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0","05/11/2017","11/04/2026","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2017_29fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi_cible_2017-29en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Plateforme JavaCard MultiApp V4.0 en configuration ouverte basée sur l’Operating System JLEP3 masquée sur le composant SLE78CLFX4000PH (M7892 G12)","Gemalto","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","ANSSI-CC-PP-2010-03","03/08/2017","09/06/2027","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2017_07.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI_cible2017_07en.pdf","09/06/2022","Reassessment report : ANSSI-CC-2017/07-S01","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2017-07_s01.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Plateforme JavaCard MultiApp V4.0 en configuration ouverte basée sur l’Operating System JLEP3 masquée sur le composant SLE78CLFX4000PH (M7892 G12)","Gemalto","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","ANSSI-CC-PP-2010-03","03/08/2017","09/06/2027","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2017_07.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI_cible2017_07en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","TCOS Smart Meter Security Module Version 1.0 Release 1&#x2f;P60C144PVA","T-Systems International GMBH","DE","EAL4+,AVA_VAN.5","PP_SECURITYMODULEV2","11/18/2016","11/18/2026","http://www.commoncriteriaportal.org:80/files/epfiles/0957V2a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0957V2b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Microcontrôleurs SAMSUNG S3FT9MD etS3FT9MC Revision 1","Samsung Electronics Co., Ltd.","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","03/24/2015","02/15/2026","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2015_12.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi_cible_2015-12_LITE.pdf","02/15/2021","Reassessment report: ANSSI-CC-2015/12-S06","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2015_12-S06.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Microcontrôleurs SAMSUNG S3FT9MD etS3FT9MC Revision 1","Samsung Electronics Co., Ltd.","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","03/24/2015","02/15/2026","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2015_12.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi_cible_2015-12_LITE.pdf","","","",""
"Key Management Systems","ADSS PKI Server v8","Ascertia Ltd.","IT","EAL4+,ALC_FLR.3","","04/17/2023","04/17/2028","http://www.commoncriteriaportal.org:80/files/epfiles/cr_adss-pki-server-v8_v1.0_en.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_adss-pki-server-v8_v9.pdf","10/17/2024","OCSI/MNT/ASC/01/2024/RM - Note: addition of ALC_FLR.3","http://www.commoncriteriaportal.org:80/files/epfiles/mr_adss-pki-server-v8_v.1.0_en.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_mnt_adss-pki-server-v8_v11.pdf"
"Key Management Systems","ADSS PKI Server v8","Ascertia Ltd.","IT","EAL4+,ALC_FLR.3","","04/17/2023","04/17/2028","http://www.commoncriteriaportal.org:80/files/epfiles/cr_adss-pki-server-v8_v1.0_en.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_adss-pki-server-v8_v9.pdf","","","",""
"Key Management Systems","SIAVAL PKI VERSION 1","SIA Sistemas Inform&aacute;ticos Abiertos S.A.","ES","EAL4+,ALC_FLR.1","","04/21/2022","04/21/2027","http://www.commoncriteriaportal.org:80/files/epfiles/2020-34 INF-3784.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/2020-34 ST.pdf","","","",""
"Key Management Systems","secunet konnektor 2.0.0, Version 5.0.5:2.0.0","Secunet Security Networks AG","DE","EAL3+","BSI-CC-PP-0097-V2-2020","04/08/2022","04/07/2027","http://www.commoncriteriaportal.org:80/files/epfiles/1044V5a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1044V5b_pdf.pdf","","","",""
"Key Management Systems","secunet konnektor 2.0.0, Version 5.0.5:2.0.0","Secunet Security Networks AG","DE","EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.3","","04/08/2022","04/07/2027","http://www.commoncriteriaportal.org:80/files/epfiles/1184a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1184b_pdf.pdf","","","",""
"Key Management Systems","secunet konnektor 2.1.0, Version 5.0.5:2.1.0","Secunet Security Networks AG","DE","EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.5","BSI-CC-PP-0097-V2-2020","04/08/2022","04/07/2027","http://www.commoncriteriaportal.org:80/files/epfiles/1128V4a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1128V4b_pdf.pdf","","","",""
"Key Management Systems","Verizon UniCERT v5.5.1","Verizon Australia Pty Ltd","MY","EAL2+,ALC_FLR.2","","05/26/2021","05/26/2026","http://www.commoncriteriaportal.org:80/files/epfiles/ISCB-5-RPT-C120-CR-V1.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/Verizon UniCERT 5.5.1 Security Target v0.8.pdf","","","",""
"Key Management Systems","IDnomic ID CA Version 1.3.7","IDNOMIC","FR","EAL4+,ALC_FLR.3","","05/12/2021","05/12/2026","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2021_17fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-2021-17en.pdf","","","",""
"Mobility","Ivanti Endpoint Manager Mobile (EPMM) System 12","Ivanti, Inc.","US","None","PP_MDM_V4.0,MOD_MDM_AGENT_V1.0,PKG_TLS_V1.1","10/15/2025","10/15/2027","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11566-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11566-st.pdf","","","",""
"Mobility","Zebra Devices on Android 14","Zebra Technologies Corporation","US","None","PP_MDF_V3.3,PKG_TLS_V1.1,MOD_BT_V1.0,MOD_WLANC_V1.0","10/09/2025","10/09/2027","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11631-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11631-st.pdf","","","",""
"Mobility","BlackBerry Unified Endpoint Management (UEM) Server","BlackBerry Ltd.","DE","EAL4+,ALC_FLR.3","BSI-CC-PP-0116-2021","09/08/2025","09/08/2030","http://www.commoncriteriaportal.org:80/files/epfiles/1235a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1235b_pdf.pdf","","","",""
"Mobility","Samsung Electronics Co., Ltd. Samsung Galaxy Devices on Android 15 – Spring","Samsung Electronics Co., Ltd.","US","None","PP_MD_V3.1,MOD_VPNC_V2.4,MOD_CPP_BIO_V1.1,MOD_WLANC_V1.0,PKG_TLS_V1.1,MOD_BT_V1.0","07/09/2025","07/09/2027","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11593-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11593-st.pdf","","","",""
"Mobility","Motorola Mobility LLC Mobile Devices on Android 14","Motorola Mobility LLC","US","None","PP_MDF_V3.3,MOD_WLANC_V1.0,MOD_BT_V1.0,MOD_CPP_BIO_V1.1,PKG_TLS_V1.1","06/06/2025","06/06/2027","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11577-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11577-st.pdf","","","",""
"Mobility","Apple iOS 17: iPhone","Apple Inc.","US","None","MOD_BT_V1.0,PKG_TLS_V1.1,MOD_MDM_AGENT_V1.0,MOD_WLANC_V1.0,MOD_VPNC_V2.4,PP_MDF_V3.3,MOD_CPP_BIO_V1.1","05/28/2025","05/28/2027","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11446-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11446-st.pdf","","","",""
"Mobility","Apple iPadOS 17: iPad","Apple Inc.","US","None","MOD_BT_V1.0,PKG_TLS_V1.1,MOD_MDM_AGENT_V1.0,MOD_WLANC_V1.0,MOD_VPNC_V2.4,PP_MDF_V3.3,MOD_CPP_BIO_V1.1","05/28/2025","05/28/2027","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11447-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11447-st.pdf","","","",""
"Mobility","Google Pixel Devices on Android 15","Google LLC","US","None","PKG_TLS_V1.1,MOD_WLANC_V1.0,PP_MDF_V3.3,MOD_BT_V1.0,MOD_CPP_BIO_V1.1,MOD_MDM_AGENT_V1.0","04/10/2025","04/10/2027","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11545-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11545-st.pdf","","","",""
"Mobility","Honeywell Mobility Edge Mobile Computer SDM660 on Android 13","Honeywell International Inc.","US","None","PKG_TLS_V1.1,PP_MDF_V3.3,MOD_BT_V1.0,MOD_WLANC_V1.0","04/08/2025","04/08/2027","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11552-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11552-st.pdf","","","",""
"Mobility","Honeywell Mobility Edge Mobile Computer CT47 on Android 13","Honeywell International Inc.","US","None","PKG_TLS_V1.1,PP_MDF_V3.3,MOD_BT_V1.0,MOD_WLANC_V1.0","04/07/2025","04/07/2027","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11553-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11553-st.pdf","","","",""
"Mobility","Smart-Ex 03","Pepperl+Fuchs SE","MY","EAL2","","03/07/2025","03/07/2030","http://www.commoncriteriaportal.org:80/files/epfiles/ISCB-5-RPT-C134-CR-v1 .pdf","http://www.commoncriteriaportal.org:80/files/epfiles/EAL2-EE_ECOMS-SMARTEX03-ST-v1.1.pdf","","","",""
"Mobility","Zebra 4490 Devices on Android 13","Zebra Technologies","US","None","MOD_BT_V1.0,MOD_WLANC_V1.0,PKG_TLS_V1.1,PP_MDF_V3.3","03/03/2025","03/03/2027","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11544-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11544-st.pdf","","","",""
"Mobility","Microsoft Intune","Microsoft Corporation","US","None","MOD_MDM_AGENT_V1.0,PP_MDM_V4.0","12/31/2024","12/31/2026","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11298-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11298-st.pdf","","","",""
"Mobility","Samsung Galaxy Devices on Android 14 - Fall","Samsung Electronics Co., Ltd.","US","None","MOD_BT_V1.0,MOD_CPP_BIO_V1.1,MOD_VPNC_V2.4,MOD_WLAN_AS_V1.0,PKG_TLS_V1.1,PP_MDF_V3.3","12/23/2024","12/23/2026","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11539-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11539-st.pdf","","","",""
"Mobility","Zebra Devices on Android 13","Zebra Technologies","US","None","MOD_BT_V1.0,MOD_WLANC_V1.0,PKG_TLS_V1.1,PP_MDF_V3.3","08/08/2024","08/08/2026","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11486-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11486-st.pdf","03/25/2025","Zebra Devices on Android 13","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11486-add1.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11486-st-am.pdf"
"Mobility","Zebra Devices on Android 13","Zebra Technologies","US","None","MOD_BT_V1.0,MOD_WLANC_V1.0,PKG_TLS_V1.1,PP_MDF_V3.3","08/08/2024","08/08/2026","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11486-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11486-st.pdf","","","",""
"Mobility","BlackBerry UEM Server and Android Client v12","BlackBerry Ltd.","US","None","MOD_MDM_AGENT_V1.0,PKG_TLS_V1.1,PP_MDM_V4.0","05/30/2024","05/30/2026","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11427-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11427-st.pdf","","","",""
"Mobility","Strong Customer Authentication for Apple Pay, on MacBook Air 2022 with M2 running macOS Ventura 13.3.1","Apple Inc.","ES","EAL2+,ADV_FSP.3,ALC_FLR.3","","05/15/2024","05/15/2029","http://www.commoncriteriaportal.org:80/files/epfiles/2023-09-INF-4307.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/2023-09-ST.pdf","","","",""
"Mobility","Samsung Electronics Co., Ltd. Samsung Galaxy Devices on Android 14 - Spring","Samsung Electronics Co., Ltd.","US","None","MOD_BT_V1.0,MOD_CPP_BIO_V1.1,MOD_VPNC_V2.4,MOD_WLANC_V1.0,PKG_TLS_V1.1,PP_MDF_V3.3","05/06/2024","05/06/2026","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11444-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11444-st.pdf","","","",""
"Mobility","NCJ38AC High-performance secure microcontroller with Crypto Library for Automotive(B0.2C8/B0.2CB/B0.2CC) ( ANSSI-CC-2019/23-R01)","NXP Semiconductors","FR","EAL5+,ADV_IMP.2,ADV_INT.3,ADV_TDS.5,ALC_CMC.5,ALC_DVS.2,ALC_FLR.1,ALC_TAT.3,ASE_TSS.2,ATE_FUN.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","04/17/2024","04/17/2029","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2019_23-R01fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-cible-CC-2019_23-R01en.pdf","","","",""
"Mobility","Google Pixel Devices on Android 14","Google LLC","US","None","MOD_BT_V1.0,MOD_CPP_BIO_V1.1,MOD_MDM_AGENT_V1.0,MOD_WLANC_V1.0,PKG_TLS_V1.1,PP_MDF_V3.3","03/27/2024","03/27/2026","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11419-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11419-st.pdf","","","",""
"Mobility","SECIRON – Android mobile Application Hardening Sandbox Module (AMAHSM) version: 7.0","SecIron (Malaysia) Sdn. Bhd.","MY","EAL2","","02/06/2024","02/06/2029","http://www.commoncriteriaportal.org:80/files/epfiles/ISCB-3-RPT-C129-CR-v1a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/SECIRON – Android Mobile Application Hardening Sandbox Module (AMAHSM) version 7.0-Security Target-1.0.pdf","","","",""
"Mobility","Motorola Mobility LLC Mobile Devices on Android 13","Motorola Mobility LLC","US","None","MOD_BT_V1.0,MOD_CPP_BIO_V1.1,MOD_WLANC_V1.0,PKG_TLS_V1.1,PP_MDF_V3.3","12/22/2023","12/22/2025","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11412-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11412-st.pdf","","","",""
"Mobility","HarmonyOS 3.0 on Huawei MatePad Pro","Huawei Device Co., Ltd.","NL","EAL2+,ALC_FLR.3","","12/19/2023","12/19/2028","http://www.commoncriteriaportal.org:80/files/epfiles/nscib-cc-23-0531255-cr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/nscib-cc-23-0531255-st_v1.0.pdf","","","",""
"Mobility","vivo X Fold2 on OriginOS 3.0","vivo Mobile Communication Co., Ltd","SE","EAL1+,ASE_SPD.1,ALC_TSU_EXT.1","MOD_BT_V1.0,MOD_WLANC_V1.0,PKG_TLS_V1.1,PP_MDF_V3.3","05/10/2023","04/13/2028","http://www.commoncriteriaportal.org:80/files/epfiles/Certification Report - vivo X Fold2 on OriginOS 3.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/vivo X Fold2 on OriginOS 3.0 Security Target.pdf","","","",""
"Mobility","Strong Customer Authentication pour Apple Pay sur Apple Watch avec S7 exécutant watchOS 8.5.1 (Version 8.5.1 (build 19T252))","Apple Inc.","FR","EAL2+,ADV_FSP.3,ALC_FLR.3","","03/27/2023","03/27/2028","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2023_17fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2023_17en.pdf","","","",""
"Mobility","Strong Customer Authentication pour Apple Pay sur iPhone 13 avec A15 Bionic exécutant iOS 15.4.1 Version 15.4.1 (build 19E258)","Apple Inc.","FR","EAL2+,ADV_FSP.3,ALC_FLR.3","","03/27/2023","03/27/2028","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2023_18fr-2.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2023_18en.pdf","","","",""
"Mobility","Strong Customer Authentication pour Apple Pay sur iPhone SE (2nde génération) avec A13 Bionic exécutant iOS 15.4.1 (Version 15.4.1 (build 19E258))","Apple Inc.","FR","EAL2+,ADV_FSP.3,ALC_FLR.3","","03/27/2023","03/27/2028","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2023_15fr-2.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2023_15en.pdf","","","",""
"Mobility","Strong Customer Authentication pour Apple Pay sur Mac mini avec M1 et Magic keyboard avec Touch ID, exécutant macOS Monterey 12.3.1 (Version 12.3.1 (build 21E258))","Apple Inc.","FR","EAL2+,ADV_FSP.3,ALC_FLR.3","","03/27/2023","03/27/2028","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2023_19fr-2.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2023_19en.pdf","","","",""
"Mobility","Strong Customer Authentication pour Apple Pay sur MacBook Air 2020 avec M1 exécutant macOS Monterey 12.3.1 (Version 12.3.1 (build 21E258))","Apple Inc.","FR","EAL2+,ADV_FSP.3,ALC_FLR.3","","03/27/2023","03/27/2028","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2023_16fr-2.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2023_16en.pdf","","","",""
"Mobility","Strong customer authentication pour Apple Pay sur Apple Watch série 4 exécutant watchOS 7.4.1 (Version 18T201)","Apple Inc.","FR","EAL2+,ADV_FSP.3,ALC_FLR.3","","03/01/2023","03/01/2028","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2023_13.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-2023_13en.pdf","","","",""
"Mobility","HyperG appGuard appShield system version 6.6","HyperG Smart Security Technology Pte, Ltd.","SG","EAL2","","01/31/2023","01/31/2028","http://www.commoncriteriaportal.org:80/files/epfiles/[CER] HyperG appGuard appShield Certification Report v1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/HyperG_appShield_ST_v2.0.pdf","","","",""
"Mobility","Strong Customer Authentication pour Apple Pay, sur MacBook Air 2020 avec M1 exécutant macOS Big Sur 11.3.1","Apple Inc.","FR","EAL2+,ADV_FSP.3,ALC_FLR.3","","09/28/2022","09/28/2027","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2022_44.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2022_44en.pdf","","","",""
"Mobility","OPPO Find X5 Pro, including ColorOS 12.1, and Qualcomm Snapdragon® 8 Gen 1 Mobile Platform","Guangdong OPPO Mobile Telecommunications Corp., Ltd","SE","Basic","MOD_BT_V1.0,PKG_TLS_V1.1,PP_MDF_V3.2,PP_WLAN_CLI_EP_V1.0","03/31/2022","03/31/2027","http://www.commoncriteriaportal.org:80/files/epfiles/Certification Report - OPPO Find X5 Pro.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/OPPO Find X5 Pro on ColorOS 12.1 Security Target.pdf","","","",""
"Mobility","Huawei Mate 40 Pro (M40 pro) with EMUI 11.0","Huawei Device Co., Ltd.","IT","None","PP_MD_V3.1,PP_WLAN_CLI_EP_V1.0","01/20/2022","01/20/2027","http://www.commoncriteriaportal.org:80/files/epfiles/cr_huawei_m40_emui11_v1.0_en.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_huawei_m40_emui11_v1.0.pdf","","","",""
"Mobility","Strong Customer Authentication pour Apple Pay sur iPhone (SoC A12 Bionic) exécutant iOS 14.5.1 Version 18E212","Apple Inc.","FR","EAL2+,ADV_FSP.3,ALC_FLR.3","","01/19/2022","01/19/2027","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2022_04en.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2022_04en.pdf","","","",""
"Mobility","Strong Customer Authentication pour Apple Pay sur iPhone SE (de seconde génération) exécutant iOS 14.5.1 Version 18E212","Apple Inc.","FR","EAL2+,ADV_FSP.3,ALC_FLR.3","","01/19/2022","01/19/2027","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cc-2022_05en.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/anssi-cible-cc-2022_05en.pdf","","","",""
"Mobility","Huawei Mobile Devices (P40 series) with EMUI 11.0","Huawei Device Co., Ltd.","IT","None","PP_MD_V3.1,PP_WLAN_CLI_EP_V1.0","10/27/2021","10/27/2026","http://www.commoncriteriaportal.org:80/files/epfiles/cr_huawei_p40_emui11_v1.0_en.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_huawei_p40_emui11_v1.11.pdf","","","",""
"Mobility","OPPO Find X3 Pro on ColorOS 11.2","Guangdong OPPO Mobile Telecommunications Corp., Ltd","SE","None","PP_MD_V3.1","10/05/2021","10/05/2026","http://www.commoncriteriaportal.org:80/files/epfiles/Certification Report - OPPO Find X3 Pro.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ST - Find X3 Pro on ColorOS 11.2.pdf","","","",""
"Mobility","Dencrypt Connex 6.0 for Apple iOS","Dencrypt A&#x2f;S","SE","EAL4,ALC_FLR.2","","07/09/2021","07/09/2026","http://www.commoncriteriaportal.org:80/files/epfiles/Certification Report - Dencrypt Connex 6.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ST - Dencrypt Connex.pdf","","","",""
"Mobility","Dencrypt Server System 5.0","Dencrypt A&#x2f;S","SE","EAL2,ALC_FLR.2","","07/09/2021","07/09/2026","http://www.commoncriteriaportal.org:80/files/epfiles/Certification Report - Dencrypt Server System 5.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ST - Dencrypt Server.pdf","","","",""
"Multi-Function Devices","RICOH Pro C5400S/C5410S/C5400SL, version JE-1.00-H","Ricoh Company, Ltd.","CA","None","CPP_HCD_V1.0E","11/03/2025","11/03/2030","http://www.commoncriteriaportal.org:80/files/epfiles/678-LSS CR.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/678-LSS ST.pdf","","","",""
"Multi-Function Devices","RICOH IM C6510/C8010, version JE-1.00-H","Ricoh Company, Ltd.","CA","None","CPP_HCD_V1.0E","10/30/2025","10/30/2030","http://www.commoncriteriaportal.org:80/files/epfiles/677-LSS CR v1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/677-LSS ST v1.2.pdf","","","",""
"Multi-Function Devices","RICOH IM C3010SD/C3510SD/C4510SD/C6010SD, version JE-1.00-H","Ricoh Company, Ltd.","CA","None","CPP_HCD_V1.0E","10/27/2025","10/27/2030","http://www.commoncriteriaportal.org:80/files/epfiles/673-LSS CR v1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/673-LSS ST v1.1.pdf","","","",""
"Multi-Function Devices","Fuji Xerox ApeosPort-VII C7773 / C6673 / C5573 / C4473 / C3373 / C2273 models with Copy, Print, Fax, Scan and Overwrite Hard Disk","FUJIFILM Business Innovation Corp.","JP","Basic","PP_HCD_V1.0","09/19/2025","09/19/2030","http://www.commoncriteriaportal.org:80/files/epfiles/c0855_erpt.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/c0855_est.pdf","","","",""
"Multi-Function Devices","RICOH IM C401F/C401SRF/C431/C431F Version JE-1.00-H","Ricoh Company, Ltd.","CA","None","CPP_HCD_V1.0E","08/07/2025","08/07/2030","http://www.commoncriteriaportal.org:80/files/epfiles/672-LSS CR v1.2.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/672-LSS ST v1.3.pdf","","","",""
"Multi-Function Devices","SHARP BP-70M90 / 70M75 fax-optional model with BP-FR12U  0400t300","Sharp Corporation","JP","None","PP_HCD_V1.0","07/14/2025","07/14/2030","http://www.commoncriteriaportal.org:80/files/epfiles/c0851_erpt.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/c0851_est.pdf","","","",""
"Multi-Function Devices","SHARP BP-70M90 / 70M75 fax-standard model with BP-FR12U; and BP-70M90 / 70M75 fax-optional model with BP-FR12U and BP-FX11  0400t300","Sharp Corporation","JP","None","PP_HCD_V1.0","07/14/2025","07/14/2030","http://www.commoncriteriaportal.org:80/files/epfiles/c0850_erpt.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/c0850_est.pdf","","","",""
"Multi-Function Devices","SHARP BP-B550WD / B547WD / B540WR / B537WR fax-standard model with BP-FR12U0302M300","Sharp Corporation","JP","None","PP_HCD_V1.0","07/14/2025","07/14/2030","http://www.commoncriteriaportal.org:80/files/epfiles/c0852_erpt.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/c0852_est.pdf","","","",""
"Multi-Function Devices","SHARP MX-8081 fax standard model with MX-FR65U; and MX-8081 / 7081 fax option model with MX-FR65U and MX-FX150180Se00","Sharp Corporation","JP","None","PP_HCD_V1.0","07/14/2025","07/14/2030","http://www.commoncriteriaportal.org:80/files/epfiles/c0853_erpt.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/c0853_est.pdf","","","",""
"Multi-Function Devices","SHARP MX-8081/7081 fax option model with MX-FR65U0180Se00","Sharp Corporation","JP","None","PP_HCD_V1.0","07/14/2025","07/14/2030","http://www.commoncriteriaportal.org:80/files/epfiles/c0854_erpt.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/c0854_est.pdf","","","",""
"Multi-Function Devices","Lexmark MS622, MS822, MS826, CS730, CS735, CS943, MS632, CS632, and CS963 Single-Function Printers, Firmware version 240.204CC","Lexmark International, Inc.","CA","None","CPP_HCD_V1.0E","06/26/2025","06/26/2030","http://www.commoncriteriaportal.org:80/files/epfiles/666-LSS CR v1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/LS_Lexmark SFP ST v1.1.pdf","","","",""
